"year" "name" "acpp" "cc" "fstprp" "fstpp" "gctr" "stpp" "pcpi" "pi" "pop" "gstpp" "cpi" "inflation_factor" "racpp" "rfstpp" "rgctr" "rstpp" "rpi" "rpcpi" "rgstpp"
"420" 1978 "Hawaii" 0.605 93.2 35.5 0.215 9874813 0.12 9650 8963468 928816 0.03 65.2 0.275412273587456 2.19670674846626 0.780647852760736 35854658.441227 0.435710429447853 32545637.430184 35038.3803680982 0.108927607361963
"421" 1978 "Idaho" 0.554 122.8 30.9 0.171 9577228 0.091 7396 6737815 910962 0.02 65.2 0.275412273587456 2.01152981595092 0.62088736196319 34774151.04 0.330413742331288 24464468.8932515 26854.2861349693 0.0726184049079755
"422" 1978 "Illinois" 0.568 136.7 35.2 0.2 183660000 0.12 9222 105451880 11434421 0.02 65.2 0.275412273587456 2.0623626993865 0.726184049079755 666854812.269939 0.435710429447853 382887366.007362 33484.3465030675 0.0726184049079755
"423" 1978 "Indiana" 0.525 150.9 35.2 0.185 84459000 0.105 7928 43178542 5446403 0.02 65.2 0.275412273587456 1.90623312883436 0.671720245398773 306663893.006135 0.381246625766871 156777842.314601 28785.9357055215 0.0726184049079755
"424" 1978 "Iowa" 0.564 127.1 37.2 0.21 47623434 0.13 8425 24592047 2919008 0.02 65.2 0.275412273587456 2.04783901840491 0.762493251533742 172916890.666012 0.47201963190184 89291761.3280982 30590.5030674847 0.0726184049079755
"425" 1978 "Kansas" 0.548 127.1 34.7 0.19 32518489 0.11 8149 19009450 2332815 0.02 65.2 0.275412273587456 1.98974429447853 0.689874846625767 118072040.059877 0.399401226993865 69021796.8588957 29588.3690797546 0.0726184049079755
"426" 1978 "Kentucky" 0.434 224.7 25.3 0.11 23305000 0.03 6745 24357691 3611382 0.02 65.2 0.275412273587456 1.57581938650307 0.399401226993865 84618596.3190184 0.108927607361963 88440833.3830675 24490.5570552147 0.0726184049079755
"427" 1978 "Louisiana" 0.571 142.7 33.3 0.19 61526377 0.11 6965 28369392 4073288 0.02 65.2 0.275412273587456 2.0732554601227 0.689874846625767 223397367.875337 0.399401226993865 103006999.762454 25289.3595092025 0.0726184049079755
"428" 1978 "Maine" 0.545 143.9 44 0.24 24988000 0.16 6870 7663100 1115457 0 65.2 0.275412273587456 1.97885153374233 0.871420858895706 90729435.0920245 0.580947239263804 27824104.9325153 24944.4220858896 0
"429" 1978 "Maryland" 0.562 134.1 32 0.18 55490000 0.1 9418 39666413 4211641 0.03 65.2 0.275412273587456 2.04057717791411 0.653565644171779 201479764.417178 0.363092024539877 144025582.024049 34196.0068711656 0.108927607361963
"430" 1978 "Massachusetts" 0.645 120.5 45 0.29 146357000 0.21 8547 49083173 5742923 0 65.2 0.275412273587456 2.34194355828221 1.05296687116564 531410594.355828 0.762493251533742 178217086.55411 31033.4753374233 0
"431" 1978 "Michigan" 0.572 141.8 33.2 0.19 142424000 0.11 8722 80263659 9201953 0.02 65.2 0.275412273587456 2.0768863803681 0.689874846625767 517130185.030675 0.399401226993865 291430944.432883 31668.8863803681 0.0726184049079755
"432" 1978 "Minnesota" 0.609 118.9 42.7 0.26 85171636 0.18 8427 33748603 4004676 0 65.2 0.275412273587456 2.21123042944785 0.944039263803681 309251417.486135 0.653565644171779 122538485.886626 30597.7649079755 0
"433" 1978 "Mississippi" 0.565 124.9 33.6 0.19 32819570 0.11 5887 14647559 2488033 0.03 65.2 0.275412273587456 2.05146993865031 0.689874846625767 119165241.158282 0.399401226993865 53184118.518773 21375.2274846626 0.108927607361963
"434" 1978 "Missouri" 0.522 141.8 32.6 0.17 61263000 0.09 7818 38083133 4871171 0.02 65.2 0.275412273587456 1.89534036809816 0.617256441717791 222441066.993865 0.32678282208589 138276818.617914 28386.5344785276 0.0726184049079755
"435" 1978 "Montana" 0.537 127.2 37.2 0.2 11618047 0.12 7788 6105886 784043 0 65.2 0.275412273587456 1.94980417177914 0.726184049079755 42184202.0642945 0.435710429447853 22169985.0934969 28277.6068711656 0
"436" 1978 "Nebraska" 0.554 117.4 37.9 0.21 23822000 0.13 8228 12842775 1560826 0.02 65.2 0.275412273587456 2.01152981595092 0.762493251533742 86495782.0858896 0.47201963190184 46631091.7546012 29875.2117791411 0.0726184049079755
"437" 1978 "Nevada" 0.571 187 31.5 0.18 11871000 0.1 9909 7128031 719345 0.02 65.2 0.275412273587456 2.0732554601227 0.653565644171779 43102654.2331288 0.363092024539877 25881312.0677301 35978.7887116564 0.0726184049079755
"438" 1978 "New Hampshire" 0.532 269.6 37.6 0.2 27463000 0.12 7938 7096546 893974 0 65.2 0.275412273587456 1.93164957055215 0.726184049079755 99715962.6993865 0.435710429447853 25766992.5438037 28822.2449079755 0
"439" 1978 "New Jersey" 0.635 123.9 42.5 0.27 172543000 0.19 9472 69680133 7356414 0 65.2 0.275412273587456 2.30563435582822 0.980348466257669 626489871.90184 0.689874846625767 253003005.611779 34392.0765644172 0
"440" 1978 "New Mexico" 0.576 103.1 34.7 0.2 14717000 0.12 7071 8851800 1251848 0.02 65.2 0.275412273587456 2.09141006134969 0.726184049079755 53436253.2515337 0.435710429447853 32140179.8282209 25674.2370552147 0.0726184049079755
"441" 1978 "New York" 0.611 126.4 37.6 0.23 339839000 0.15 8954 158660143 17720421 0.02 65.2 0.275412273587456 2.21849226993865 0.835111656441718 1233928305.27607 0.544638036809816 576082325.356564 32511.2598773006 0.0726184049079755
"442" 1978 "North Carolina" 0.437 205.5 22.9 0.1 22708000 0.02 6881 39496334 5740286 0.01 65.2 0.275412273587456 1.58671214723926 0.363092024539877 82450936.9325153 0.0726184049079755 143408038.739632 24984.362208589 0.0363092024539877
"443" 1978 "North Dakota" 0.55 121.9 34.5 0.19 8756406 0.11 8255 5370965 650648 0.02 65.2 0.275412273587456 1.99700613496933 0.689874846625767 31793811.8223313 0.399401226993865 19501545.5558282 29973.2466257669 0.0726184049079755
"444" 1978 "Ohio" 0.563 131.3 40.9 0.23 210701000 0.15 8222 88755514 10795431 0 65.2 0.275412273587456 2.04420809815951 0.835111656441718 765038526.625767 0.544638036809816 322264192.673374 29853.4262576687 0
"445" 1978 "Oklahoma" 0.555 143.6 37.8 0.21 52475244 0.13 7479 21786046 2913056 0 65.2 0.275412273587456 2.01516073619632 0.762493251533742 190533425.82184 0.47201963190184 79103395.488589 27155.6525153374 0
"446" 1978 "Oregon" 0.519 156.3 32.8 0.17 33423000 0.09 8534 21417553 2509609 0 65.2 0.275412273587456 1.88444760736196 0.617256441717791 121356247.361963 0.32678282208589 77765426.7946012 30986.2733742331 0
"447" 1978 "Pennsylvania" 0.606 122.3 42.9 0.26 259411000 0.18 8268 98097527 11864774 0 65.2 0.275412273587456 2.20033766871166 0.944039263803681 941900651.779141 0.653565644171779 356184296.807853 30020.4485889571 0
"448" 1978 "Rhode Island" 0.587 146.8 44.3 0.26 24711000 0.18 7806 7472408 957237 0 65.2 0.275412273587456 2.13135018404908 0.944039263803681 89723670.1840491 0.653565644171779 27131717.4890798 28342.9634355828 0
"449" 1978 "South Carolina" 0.502 140.4 29.9 0.15 28273885 0.07 6507 19786882 3041068 0.02 65.2 0.275412273587456 1.82272196319018 0.544638036809816 102660221.462577 0.254164417177914 71844590.4471166 23626.3980368098 0.0726184049079755
"450" 1978 "South Dakota" 0.541 116.9 37 0.2 9665000 0.12 7493 5164776 689293 0 65.2 0.275412273587456 1.96432785276074 0.726184049079755 35092844.1717791 0.435710429447853 18752889.7413497 27206.485398773 0
"451" 1978 "Tennessee" 0.573 127.3 36.6 0.21 71135611 0.13 6929 30914798 4461639 0.03 65.2 0.275412273587456 2.0805173006135 0.762493251533742 258287730.148712 0.47201963190184 112249165.940613 25158.6463803681 0.108927607361963
"452" 1978 "Texas" 0.622 126.6 42.6 0.265 296923598 0.185 7984 107770121 13497726 0 65.2 0.275412273587456 2.25843239263804 0.962193865030675 1078105903.31485 0.671720245398773 391304714.187975 28989.2672392638 0
"453" 1978 "Utah" 0.537 79.6 29.8 0.16 8077185 0.08 7037 9600731 1364235 0.03 65.2 0.275412273587456 1.94980417177914 0.580947239263804 29327614.5423313 0.290473619631902 34859488.5585276 25550.7857668712 0.108927607361963
"454" 1978 "Vermont" 0.548 162.4 36.5 0.2 9412514 0.12 7088 3531717 498284 0 65.2 0.275412273587456 1.98974429447853 0.726184049079755 34176087.6426994 0.435710429447853 12823382.756319 25735.9626993865 0
"455" 1978 "Virginia" 0.458 155.9 22.9 0.105 20017000 0.025 8509 44964233 5284122 0.02 65.2 0.275412273587456 1.66296147239264 0.381246625766871 72680130.5521472 0.0907730061349693 163261543.918528 30895.5003680982 0.0726184049079755
"456" 1978 "Washington" 0.616 101.3 39 0.24 59298458 0.16 9051 35172996 3886191 0.03 65.2 0.275412273587456 2.23664687116564 0.871420858895706 215307971.673129 0.580947239263804 127710343.26773 32863.4591411043 0.108927607361963
"457" 1978 "West Virginia" 0.624 131.6 40.1 0.25 30369000 0.17 6603 12680883 1920342 0.02 65.2 0.275412273587456 2.26569423312883 0.907730061349693 110267416.932515 0.617256441717791 46043274.8142331 23974.9663803681 0.0726184049079755
"458" 1978 "Wisconsin" 0.587 116.7 40.9 0.24 86984000 0.16 8214 38047473 4631944 0.02 65.2 0.275412273587456 2.13135018404908 0.871420858895706 315831966.625767 0.580947239263804 138147340.001963 29824.3788957055 0.0726184049079755
"459" 1978 "Wyoming" 0.517 160.3 30.9 0.16 5205000 0.08 9280 3998754 430897 0 65.2 0.275412273587456 1.87718576687117 0.580947239263804 18898939.8773006 0.290473619631902 14519156.8549693 33694.9398773006 0
"460" 1979 "Alabama" 0.606 121.4 33.3 0.2 54496057 0.12 7234 27992382 3869444 0.02 72.6 0.306670721816707 1.97606082644628 0.652165289256198 177702183.883636 0.391299173553719 91278299.52 23588.8185123967 0.0652165289256198
"461" 1979 "Alaska" 0.609 138.1 26.3 0.16 4451000 0.08 13555 5470056 403544 0 72.6 0.306670721816707 1.98584330578512 0.521732231404959 14513938.5123967 0.260866115702479 17836903.267438 44200.5024793389 0
"462" 1979 "Arizona" 0.608 124.6 34.5 0.21 38135772 0.13 8674 22885921 2638582 0.02 72.6 0.306670721816707 1.98258247933884 0.684773553719008 124354133.886942 0.423907438016529 74627016.4442975 28284.4085950413 0.0652165289256198
"463" 1979 "Arkansas" 0.615 126.5 41.9 0.258 49072538 0.178 7091 16089892 2269115 0 72.6 0.306670721816707 2.00540826446281 0.841293223140496 160017029.696529 0.580427107438017 52466345.351405 23122.5203305785 0
"464" 1979 "California" 0.621 121.9 29 0.18 271823000 0.1 10752 250027116 23255069 0.04 72.6 0.306670721816707 2.0249732231405 0.586948760330579 886367627.107438 0.326082644628099 815295032.140165 35060.4059504132 0.13043305785124
"465" 1979 "Colorado" 0.546 131.5 33 0.18 35108000 0.1 9701 27639927 2849181 0 72.6 0.306670721816707 1.78041123966942 0.586948760330579 114481094.876033 0.326082644628099 90129004.934876 31633.2773553719 0
"466" 1979 "Connecticut" 0.67 117.4 43.3 0.29 76544000 0.21 10902 33793836 3099907 0 72.6 0.306670721816707 2.18475371900826 0.945639669421488 249596699.504132 0.684773553719008 110195834.150083 35549.5299173554 0
"467" 1979 "Delaware" 0.627 150.2 35.1 0.22 12260000 0.14 9555 5722077 598830 0 72.6 0.306670721816707 2.04453818181818 0.717381818181818 39977732.231405 0.456515702479339 18658700.0092562 31157.1966942149 0
"468" 1979 "District of Columbia" 0.656 128.5 32 0.21 11201000 0.13 12058 7905250 655616 0.03 72.6 0.306670721816707 2.13910214876033 0.684773553719008 36524517.0247934 0.423907438016529 25777648.2644628 39319.0452892562 0.0978247933884298
